Date,Value,ChangePercentMonth,ChangePercentYear
1959-01,286.6,,
1959-02,287.7,0.003838,
1959-03,289.2,0.005214,
1959-04,290.1,0.003112,
1959-05,292.2,0.007239,
1959-06,294.1,0.006502,
1959-07,295.2,0.00374,
1959-08,296.4,0.004065,
1959-09,296.7,0.001012,
1959-10,296.5,-0.000674,
1959-11,297.1,0.002024,
1959-12,297.8,0.002356,
1960-01,298.2,0.001343,0.040475
1960-02,298.4,0.000671,0.037192
1960-03,299.3,0.003016,0.034924
1960-04,300.1,0.002673,0.034471
1960-05,300.9,0.002666,0.029774
1960-06,302.3,0.004653,0.027882
1960-07,304.1,0.005954,0.030149
1960-08,306.9,0.009207,0.035425
1960-09,308.4,0.004888,0.039434
1960-10,309.5,0.003567,0.043845
1960-11,310.9,0.004523,0.046449
1960-12,312.4,0.004825,0.049026
1961-01,314.1,0.005442,0.05332
1961-02,316.5,0.007641,0.060657
1961-03,318.3,0.005687,0.063481
1961-04,319.9,0.005027,0.065978
1961-05,322.2,0.00719,0.070788
1961-06,324.3,0.006518,0.072775
1961-07,325.6,0.004009,0.0707
1961-08,327.6,0.006143,0.067449
1961-09,329.5,0.0058,0.068418
1961-10,331.1,0.004856,0.06979
1961-11,333.4,0.006947,0.072371
1961-12,335.5,0.006299,0.073944
1962-01,337.5,0.005961,0.074499
1962-02,340.1,0.007704,0.074566
1962-03,343.1,0.008821,0.077914
1962-04,345.5,0.006995,0.080025
1962-05,347.5,0.005789,0.078523
1962-06,349.3,0.00518,0.077089
1962-07,350.8,0.004294,0.077396
1962-08,352.8,0.005701,0.076923
1962-09,354.9,0.005952,0.077086
1962-10,357.2,0.006481,0.078828
1962-11,359.8,0.007279,0.079184
1962-12,362.7,0.00806,0.081073
1963-01,365.2,0.006893,0.082074
1963-02,367.9,0.007393,0.081741
1963-03,370.7,0.007611,0.080443
1963-04,373.3,0.007014,0.080463
1963-05,376.1,0.007501,0.082302
1963-06,378.4,0.006115,0.083309
1963-07,381.1,0.007135,0.086374
1963-08,383.6,0.00656,0.087302
1963-09,386.0,0.006257,0.08763
1963-10,388.3,0.005959,0.087066
1963-11,391.5,0.008241,0.088105
1963-12,393.2,0.004342,0.084092
1964-01,395.2,0.005086,0.082147
1964-02,397.6,0.006073,0.080728
1964-03,399.8,0.005533,0.0785
1964-04,401.7,0.004752,0.076078
1964-05,404.2,0.006224,0.074714
1964-06,407.1,0.007175,0.075846
1964-07,410.1,0.007369,0.076096
1964-08,413.4,0.008047,0.077685
1964-09,416.9,0.008466,0.080052
1964-10,419.1,0.005277,0.07932
1964-11,422.0,0.00692,0.077905
1964-12,424.7,0.006398,0.080112
1965-01,427.5,0.006593,0.081731
1965-02,430.4,0.006784,0.082495
1965-03,433.2,0.006506,0.083542
1965-04,435.4,0.005078,0.083893
1965-05,437.1,0.003904,0.081395
1965-06,440.1,0.006863,0.081061
1965-07,442.9,0.006362,0.07998
1965-08,445.8,0.006548,0.078374
1965-09,449.5,0.0083,0.078196
1965-10,452.6,0.006897,0.079933
1965-11,455.7,0.006849,0.079858
1965-12,459.2,0.00768,0.081234
1966-01,462.0,0.006098,0.080702
1966-02,464.6,0.005628,0.079461
1966-03,467.2,0.005596,0.078486
